# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
23/05/2024 05:16:43,Class A,219021578,55.000525,7.824398,Under way using engine,,0.5,265.5,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
23/05/2024 05:18:53,Class A,219021578,55.000518,7.823917,Under way using engine,,0.5,268.8,,Unknown,OX2994,ESVAGT WIND 3,HSC,,4.0,12.0,GPS,1.0,BUTENDIEK,15/05/2024 13:30:00,AIS,6.0,6.0,2.0,2.0
23/05/2024 05:19:13,Class A,219021578,55.000525,7.823822,Under way using engine,,0.6,273.5,,Unknown,OX2994,ESVAGT WIND 3,HSC,,4.0,12.0,GPS,1.0,BUTENDIEK,15/05/2024 13:30:00,AIS,6.0,6.0,2.0,2.0
23/05/2024 05:19:23,Class A,219021578,55.000523,7.823777,Under way using engine,,0.4,272.7,,Unknown,OX2994,ESVAGT WIND 3,HSC,,4.0,12.0,GPS,1.0,BUTENDIEK,15/05/2024 13:30:00,AIS,6.0,6.0,2.0,2.0
23/05/2024 05:19:35,Class A,219021578,55.000528,7.823743,Under way using engine,,0.4,270.4,,Unknown,OX2994,ESVAGT WIND 3,HSC,,4.0,12.0,GPS,1.0,BUTENDIEK,15/05/2024 13:30:00,AIS,6.0,6.0,2.0,2.0
23/05/2024 05:19:43,Class A,219021578,55.000525,7.82371,Under way using engine,,0.5,269.9,,Unknown,OX2994,ESVAGT WIND 3,HSC,,4.0,12.0,GPS,1.0,BUTENDIEK,15/05/2024 13:30:00,AIS,6.0,6.0,2.0,2.0
23/05/2024 05:19:53,Class A,219021578,55.000527,7.823672,Under way using engine,,0.4,267.7,,Unknown,OX2994,ESVAGT WIND 3,HSC,,4.0,12.0,GPS,1.0,BUTENDIEK,15/05/2024 13:30:00,AIS,6.0,6.0,2.0,2.0
23/05/2024 05:20:04,Class A,219021578,55.000523,7.823618,Under way using engine,,0.4,263.9,,Unknown,OX2994,ESVAGT WIND 3,HSC,,4.0,12.0,GPS,1.0,BUTENDIEK,15/05/2024 13:30:00,AIS,6.0,6.0,2.0,2.0
23/05/2024 05:20:13,Class A,219021578,55.000522,7.823585,Under way using engine,,0.5,273.8,,Unknown,OX2994,ESVAGT WIND 3,HSC,,4.0,12.0,GPS,1.0,BUTENDIEK,15/05/2024 13:30:00,AIS,6.0,6.0,2.0,2.0
23/05/2024 05:20:35,Class A,219021578,55.000523,7.823507,Under way using engine,,0.4,259.0,,Unknown,OX2994,ESVAGT WIND 3,HSC,,4.0,12.0,GPS,1.0,BUTENDIEK,15/05/2024 13:30:00,AIS,6.0,6.0,2.0,2.0
23/05/2024 05:20:43,Class A,219021578,55.000522,7.823465,Under way using engine,,0.5,268.7,,Unknown,OX2994,ESVAGT WIND 3,HSC,,4.0,12.0,GPS,1.0,BUTENDIEK,15/05/2024 13:30:00,AIS,6.0,6.0,2.0,2.0
