# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 00:00:26,Class A,220127000,57.492058,10.505228,Engaged in fishing,0.0,0.0,269.8,147.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:04:27,Class A,220127000,57.492123,10.505207,Engaged in fishing,0.0,0.0,266.1,147.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:04:46,Class A,220127000,57.492128,10.505202,Engaged in fishing,0.0,0.0,263.4,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:05:16,Class A,220127000,57.492132,10.505202,Engaged in fishing,0.0,0.0,263.7,147.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:05:27,Class A,220127000,57.492132,10.505203,Engaged in fishing,0.0,0.0,264.9,147.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:05:46,Class A,220127000,57.492118,10.505212,Engaged in fishing,0.0,0.0,264.8,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:05:57,Class A,220127000,57.492123,10.505215,Engaged in fishing,0.0,0.0,264.6,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:06:16,Class A,220127000,57.492137,10.505212,Engaged in fishing,0.0,0.0,264.8,147.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:06:27,Class A,220127000,57.492142,10.505213,Engaged in fishing,0.0,0.0,267.0,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:06:37,Class A,220127000,57.492145,10.505217,Engaged in fishing,0.0,0.0,266.4,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:06:41,Class A,220127000,57.492145,10.505217,Engaged in fishing,0.0,0.0,266.4,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:06:46,Class A,220127000,57.492145,10.505218,Engaged in fishing,0.0,0.0,265.6,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:06:57,Class A,220127000,57.492142,10.505217,Engaged in fishing,0.0,0.0,264.3,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:07:16,Class A,220127000,57.492143,10.505212,Engaged in fishing,0.0,0.0,265.2,147.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:07:27,Class A,220127000,57.492145,10.50521,Engaged in fishing,0.0,0.0,266.6,147.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:07:46,Class A,220127000,57.492143,10.5052,Engaged in fishing,0.0,0.0,264.3,147.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:07:57,Class A,220127000,57.49214,10.505197,Engaged in fishing,0.0,0.0,263.4,147.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:08:07,Class A,220127000,57.492143,10.505197,Engaged in fishing,0.0,0.0,261.8,147.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:08:16,Class A,220127000,57.492143,10.505197,Engaged in fishing,0.0,0.0,259.3,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:08:26,Class A,220127000,57.492147,10.505202,Engaged in fishing,0.0,0.0,259.3,147.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:08:37,Class A,220127000,57.492147,10.505203,Engaged in fishing,0.0,0.0,260.1,147.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:08:46,Class A,220127000,57.492143,10.505202,Engaged in fishing,0.0,0.1,258.5,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:08:57,Class A,220127000,57.492143,10.505202,Engaged in fishing,0.0,0.0,257.3,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:09:06,Class A,220127000,57.492145,10.505207,Engaged in fishing,0.0,0.0,259.1,147.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:09:16,Class A,220127000,57.492152,10.505207,Engaged in fishing,0.0,0.0,260.6,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:09:26,Class A,220127000,57.492157,10.50521,Engaged in fishing,0.0,0.0,259.9,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:09:37,Class A,220127000,57.492157,10.505212,Engaged in fishing,0.0,0.0,258.5,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:09:46,Class A,220127000,57.492155,10.50521,Engaged in fishing,0.0,0.0,259.8,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:09:56,Class A,220127000,57.492152,10.505207,Engaged in fishing,0.0,0.0,259.8,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:10:06,Class A,220127000,57.492148,10.505205,Engaged in fishing,0.0,0.0,258.9,145.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:10:16,Class A,220127000,57.492147,10.505202,Engaged in fishing,0.0,0.0,257.5,145.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:10:26,Class A,220127000,57.492143,10.505198,Engaged in fishing,0.0,0.0,256.5,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:10:37,Class A,220127000,57.49214,10.505202,Engaged in fishing,0.0,0.0,258.7,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:10:47,Class A,220127000,57.49214,10.505205,Engaged in fishing,0.0,0.0,259.5,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:10:56,Class A,220127000,57.492142,10.505208,Engaged in fishing,0.0,0.0,259.0,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:11:06,Class A,220127000,57.492147,10.50521,Engaged in fishing,0.0,0.0,258.9,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:11:16,Class A,220127000,57.492147,10.505212,Engaged in fishing,0.0,0.0,258.6,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:11:26,Class A,220127000,57.492143,10.50521,Engaged in fishing,0.0,0.0,259.9,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:11:37,Class A,220127000,57.492143,10.505215,Engaged in fishing,0.0,0.0,259.0,147.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:11:47,Class A,220127000,57.492145,10.505217,Engaged in fishing,0.0,0.0,259.2,147.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:11:56,Class A,220127000,57.492147,10.505218,Engaged in fishing,0.0,0.0,259.8,147.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:12:06,Class A,220127000,57.492148,10.505217,Engaged in fishing,0.0,0.0,259.0,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:12:16,Class A,220127000,57.492152,10.505215,Engaged in fishing,0.0,0.0,258.2,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:12:26,Class A,220127000,57.492153,10.505217,Engaged in fishing,0.0,0.0,257.0,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:12:41,Class A,220127000,57.492153,10.505217,Engaged in fishing,0.0,0.0,257.0,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:12:47,Class A,220127000,57.492155,10.505217,Engaged in fishing,0.0,0.0,257.2,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:12:56,Class A,220127000,57.492158,10.505218,Engaged in fishing,0.0,0.0,257.6,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:13:06,Class A,220127000,57.49216,10.50522,Engaged in fishing,0.0,0.0,260.1,147.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:13:16,Class A,220127000,57.492153,10.505225,Engaged in fishing,0.0,0.0,261.6,147.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:13:26,Class A,220127000,57.492155,10.505222,Engaged in fishing,0.0,0.0,261.9,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:13:37,Class A,220127000,57.492155,10.505223,Engaged in fishing,0.0,0.0,263.0,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:13:47,Class A,220127000,57.492155,10.505223,Engaged in fishing,0.0,0.0,262.7,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:13:56,Class A,220127000,57.492155,10.505223,Engaged in fishing,0.0,0.0,266.3,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:14:06,Class A,220127000,57.492155,10.505223,Engaged in fishing,0.0,0.0,265.0,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:14:16,Class A,220127000,57.492157,10.505225,Engaged in fishing,0.0,0.0,265.4,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:14:26,Class A,220127000,57.492157,10.505223,Engaged in fishing,0.0,0.0,267.1,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:14:37,Class A,220127000,57.492148,10.505232,Engaged in fishing,0.0,0.0,266.9,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:14:47,Class A,220127000,57.492138,10.505237,Engaged in fishing,0.0,0.0,269.6,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:14:56,Class A,220127000,57.492138,10.505232,Engaged in fishing,0.0,0.0,269.6,145.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:15:06,Class A,220127000,57.492128,10.505247,Engaged in fishing,0.0,0.0,269.3,145.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:15:16,Class A,220127000,57.492132,10.505247,Engaged in fishing,0.0,0.0,271.5,145.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:15:26,Class A,220127000,57.492135,10.505242,Engaged in fishing,0.0,0.0,273.1,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:15:37,Class A,220127000,57.492137,10.505238,Engaged in fishing,0.0,0.0,274.3,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:15:57,Class A,220127000,57.492142,10.505225,Engaged in fishing,0.0,0.0,273.9,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:16:06,Class A,220127000,57.492145,10.50522,Engaged in fishing,0.0,0.0,275.2,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:16:16,Class A,220127000,57.492145,10.505213,Engaged in fishing,0.0,0.0,275.6,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:16:26,Class A,220127000,57.492142,10.505205,Engaged in fishing,0.0,0.0,275.8,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:16:37,Class A,220127000,57.492138,10.505203,Engaged in fishing,0.0,0.0,274.6,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:16:57,Class A,220127000,57.492138,10.5052,Engaged in fishing,0.0,0.0,274.4,147.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:17:06,Class A,220127000,57.492137,10.505202,Engaged in fishing,0.0,0.0,274.6,147.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:17:16,Class A,220127000,57.492135,10.505205,Engaged in fishing,0.0,0.0,277.7,147.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:17:27,Class A,220127000,57.492135,10.505202,Engaged in fishing,0.0,0.0,275.3,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:17:37,Class A,220127000,57.492133,10.505195,Engaged in fishing,0.0,0.0,274.0,147.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:17:57,Class A,220127000,57.492143,10.505188,Engaged in fishing,0.0,0.0,273.7,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:18:06,Class A,220127000,57.492147,10.50519,Engaged in fishing,0.0,0.0,274.3,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:18:16,Class A,220127000,57.492148,10.505188,Engaged in fishing,0.0,0.0,275.4,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:18:27,Class A,220127000,57.492142,10.505202,Engaged in fishing,0.0,0.0,276.7,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:18:37,Class A,220127000,57.492138,10.505215,Engaged in fishing,0.0,0.0,276.1,145.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:18:40,Class A,220127000,57.492138,10.505215,Engaged in fishing,0.0,0.0,276.1,145.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:18:57,Class A,220127000,57.492142,10.50523,Engaged in fishing,0.0,0.0,277.6,145.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:19:06,Class A,220127000,57.49214,10.505222,Engaged in fishing,0.0,0.0,280.2,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:19:17,Class A,220127000,57.492163,10.505228,Engaged in fishing,0.0,0.0,281.8,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:19:27,Class A,220127000,57.492162,10.505223,Engaged in fishing,0.0,0.0,281.3,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:19:46,Class A,220127000,57.492155,10.505225,Engaged in fishing,0.0,0.0,280.1,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:19:57,Class A,220127000,57.492147,10.505225,Engaged in fishing,0.0,0.0,280.3,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:20:06,Class A,220127000,57.492143,10.505222,Engaged in fishing,0.0,0.0,280.8,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:20:17,Class A,220127000,57.492145,10.505213,Engaged in fishing,0.0,0.0,280.0,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
26/11/2024 00:20:27,Class A,220127000,57.492135,10.505227,Engaged in fishing,0.0,0.0,279.9,146.0,Unknown,OWRI,FN 261 STJERNE,Fishing,,6.0,17.0,GPS,3.0,STRANDBY,22/04/2025 06:00:00,AIS,13.0,4.0,3.0,3.0
