# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 00:02:18,Class A,219004616,57.320175,11.12416,Moored,,,,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:45:30,Class A,219004616,57.320155,11.124197,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 00:47:21,Class A,219004616,57.320227,11.124253,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 00:50:21,Class A,219004616,57.320227,11.124417,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 00:51:30,Class A,219004616,57.320227,11.124417,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 00:56:19,Class A,219004616,57.320308,11.124285,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 00:57:30,Class A,219004616,57.320308,11.124285,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 00:59:23,Class A,219004616,57.320273,11.1243,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:02:20,Class A,219004616,57.320215,11.12433,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:03:30,Class A,219004616,57.320215,11.12433,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:05:24,Class A,219004616,57.320243,11.124352,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:08:21,Class A,219004616,57.320135,11.12436,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:09:30,Class A,219004616,57.320135,11.12436,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:11:25,Class A,219004616,57.320177,11.124248,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:14:22,Class A,219004616,57.320188,11.124255,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:15:30,Class A,219004616,57.320188,11.124255,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:17:23,Class A,219004616,57.320213,11.12434,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:20:22,Class A,219004616,57.320205,11.124338,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:21:31,Class A,219004616,57.320205,11.124338,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:23:25,Class A,219004616,57.320228,11.124278,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:26:21,Class A,219004616,57.320162,11.124348,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:27:30,Class A,219004616,57.320162,11.124348,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:29:26,Class A,219004616,57.320155,11.124365,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:32:20,Class A,219004616,57.320247,11.124295,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:33:30,Class A,219004616,57.320247,11.124295,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:35:16,Class A,219004616,57.320207,11.124312,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:38:21,Class A,219004616,57.320197,11.124282,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:39:31,Class A,219004616,57.320197,11.124282,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:41:22,Class A,219004616,57.320202,11.12428,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:44:22,Class A,219004616,57.320203,11.124312,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:45:30,Class A,219004616,57.320203,11.124312,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:47:22,Class A,219004616,57.320162,11.12434,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:50:24,Class A,219004616,57.320175,11.124353,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:51:30,Class A,219004616,57.320175,11.124353,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:53:23,Class A,219004616,57.320188,11.124303,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:57:30,Class A,219004616,57.320188,11.124303,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 01:59:21,Class A,219004616,57.320148,11.124405,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:02:26,Class A,219004616,57.32014,11.124418,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:03:30,Class A,219004616,57.32014,11.124418,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:05:22,Class A,219004616,57.320188,11.124423,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:08:27,Class A,219004616,57.320238,11.12438,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:11:24,Class A,219004616,57.320078,11.124355,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:14:27,Class A,219004616,57.32017,11.12436,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:15:30,Class A,219004616,57.32017,11.12436,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:17:23,Class A,219004616,57.320218,11.124398,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:20:17,Class A,219004616,57.320218,11.1244,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:21:30,Class A,219004616,57.320218,11.1244,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:23:21,Class A,219004616,57.320223,11.12444,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:26:20,Class A,219004616,57.320238,11.124332,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:27:30,Class A,219004616,57.320238,11.124332,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:29:22,Class A,219004616,57.32028,11.124277,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:32:21,Class A,219004616,57.320243,11.124385,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:33:31,Class A,219004616,57.320243,11.124385,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:35:21,Class A,219004616,57.320173,11.124373,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:39:30,Class A,219004616,57.320173,11.124373,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:41:20,Class A,219004616,57.3202,11.124352,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:44:21,Class A,219004616,57.320227,11.124303,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:45:30,Class A,219004616,57.320227,11.124303,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:47:21,Class A,219004616,57.320197,11.124332,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:50:21,Class A,219004616,57.320237,11.124247,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:51:31,Class A,219004616,57.320237,11.124247,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:53:20,Class A,219004616,57.320215,11.124307,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:56:21,Class A,219004616,57.32018,11.124305,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:57:30,Class A,219004616,57.32018,11.124305,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 02:59:22,Class A,219004616,57.320218,11.124343,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:02:21,Class A,219004616,57.320152,11.12423,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:03:30,Class A,219004616,57.320152,11.12423,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:05:23,Class A,219004616,57.320163,11.124248,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:08:22,Class A,219004616,57.32024,11.124343,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:09:30,Class A,219004616,57.32024,11.124343,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:11:22,Class A,219004616,57.320202,11.124303,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:14:23,Class A,219004616,57.320207,11.12435,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:15:31,Class A,219004616,57.320207,11.12435,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:17:23,Class A,219004616,57.320147,11.124218,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:20:24,Class A,219004616,57.320158,11.124252,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:21:31,Class A,219004616,57.320158,11.124252,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:23:23,Class A,219004616,57.32023,11.12431,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:26:25,Class A,219004616,57.320243,11.124305,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:27:30,Class A,219004616,57.320243,11.124305,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:29:22,Class A,219004616,57.320177,11.124267,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:32:24,Class A,219004616,57.32019,11.124323,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:33:31,Class A,219004616,57.32019,11.124323,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:35:21,Class A,219004616,57.32021,11.12433,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:38:25,Class A,219004616,57.320193,11.12437,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:39:30,Class A,219004616,57.320193,11.12437,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:41:19,Class A,219004616,57.320195,11.124283,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:44:26,Class A,219004616,57.320188,11.124235,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:45:31,Class A,219004616,57.320188,11.124235,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:47:19,Class A,219004616,57.320215,11.124338,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:50:25,Class A,219004616,57.320183,11.124288,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:51:30,Class A,219004616,57.320183,11.124288,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:53:21,Class A,219004616,57.320187,11.124328,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:56:26,Class A,219004616,57.320235,11.124322,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:56:26,Class A,219004616,57.320235,11.124322,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:57:30,Class A,219004616,57.320235,11.124322,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 03:59:20,Class A,219004616,57.320222,11.12431,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 04:02:27,Class A,219004616,57.320235,11.12431,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 04:03:31,Class A,219004616,57.320235,11.12431,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 04:05:20,Class A,219004616,57.32022,11.12429,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 04:08:27,Class A,219004616,57.320167,11.124353,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 04:09:31,Class A,219004616,57.320167,11.124353,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 04:11:20,Class A,219004616,57.320163,11.124275,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 04:14:27,Class A,219004616,57.320155,11.124297,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 04:15:30,Class A,219004616,57.320155,11.124297,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
26/11/2024 04:17:19,Class A,219004616,57.32025,11.124265,Moored,,,,,Unknown,XPD4798,RESCUE LRB 19,SAR,,3.0,10.0,GPS,1.0,Unknown,,AIS,8.0,2.0,1.0,2.0
