# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 09:59:28,Class A,219015361,55.460823,8.448837,Under way using engine,0.0,0.0,134.5,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 10:07:18,Class A,219015361,55.460825,8.448843,Under way using engine,0.0,0.1,322.3,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:07:29,Class A,219015361,55.460825,8.448845,Under way using engine,0.0,0.0,315.8,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:07:48,Class A,219015361,55.460825,8.448843,Under way using engine,0.0,0.0,313.0,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:08:58,Class A,219015361,55.460827,8.448843,Under way using engine,0.0,0.0,326.3,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:09:29,Class A,219015361,55.460827,8.448843,Under way using engine,0.0,0.0,326.6,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:10:29,Class A,219015361,55.460827,8.448842,Under way using engine,0.0,0.0,322.1,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:11:29,Class A,219015361,55.460828,8.448843,Under way using engine,0.0,0.0,321.0,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:11:59,Class A,219015361,55.460828,8.448843,Under way using engine,0.0,0.0,319.5,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:15:39,Class A,219015361,55.460833,8.44885,Under way using engine,0.0,0.1,314.8,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:16:59,Class A,219015361,55.460832,8.44885,Under way using engine,0.0,0.0,307.9,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:19:29,Class A,219015361,55.460833,8.448852,Under way using engine,0.0,0.0,306.9,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:19:59,Class A,219015361,55.460833,8.448852,Under way using engine,0.0,0.0,309.1,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:20:19,Class A,219015361,55.460833,8.448852,Under way using engine,0.0,0.0,309.7,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:20:29,Class A,219015361,55.460833,8.448852,Under way using engine,0.0,0.1,308.8,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:20:38,Class A,219015361,55.460833,8.448852,Under way using engine,0.0,0.0,309.7,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:20:59,Class A,219015361,55.460833,8.448852,Under way using engine,0.0,0.0,311.5,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:21:59,Class A,219015361,55.460833,8.44885,Under way using engine,0.0,0.0,317.4,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:22:19,Class A,219015361,55.460833,8.44885,Under way using engine,0.0,0.0,317.4,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:22:38,Class A,219015361,55.460833,8.44885,Under way using engine,0.0,0.1,318.5,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:23:09,Class A,219015361,55.460833,8.44885,Under way using engine,0.0,0.1,316.4,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:23:29,Class A,219015361,55.460833,8.44885,Under way using engine,0.0,0.0,317.9,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:23:38,Class A,219015361,55.460833,8.44885,Under way using engine,0.0,0.1,316.8,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:24:09,Class A,219015361,55.460833,8.448848,Under way using engine,0.0,0.0,317.3,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:24:19,Class A,219015361,55.460833,8.448848,Under way using engine,0.0,0.0,317.2,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:24:29,Class A,219015361,55.460833,8.448847,Under way using engine,0.0,0.0,314.5,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:24:38,Class A,219015361,55.460833,8.448847,Under way using engine,0.0,0.0,315.3,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:24:44,Class A,219015361,55.460833,8.448847,Under way using engine,0.0,0.0,315.3,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:25:19,Class A,219015361,55.460833,8.448845,Under way using engine,0.0,0.1,315.1,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:25:29,Class A,219015361,55.460833,8.448845,Under way using engine,0.0,0.1,313.2,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:25:38,Class A,219015361,55.460833,8.448845,Under way using engine,0.0,0.0,314.3,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:26:09,Class A,219015361,55.460832,8.448843,Under way using engine,0.0,0.0,309.5,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:26:19,Class A,219015361,55.460832,8.448842,Under way using engine,0.0,0.0,310.2,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:26:29,Class A,219015361,55.460832,8.448842,Under way using engine,0.0,0.0,313.0,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:26:38,Class A,219015361,55.460832,8.448842,Under way using engine,0.0,0.0,312.7,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:27:09,Class A,219015361,55.46083,8.448842,Under way using engine,0.0,0.0,318.6,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:27:19,Class A,219015361,55.46083,8.448842,Under way using engine,0.0,0.0,319.9,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:28:09,Class A,219015361,55.46083,8.448842,Under way using engine,0.0,0.0,319.8,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:28:19,Class A,219015361,55.460828,8.448842,Under way using engine,0.0,0.0,319.1,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:28:29,Class A,219015361,55.460828,8.448842,Under way using engine,0.0,0.0,318.5,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:29:19,Class A,219015361,55.460828,8.448842,Under way using engine,0.0,0.0,323.0,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:29:29,Class A,219015361,55.460828,8.448842,Under way using engine,0.0,0.1,322.4,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
